Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
8.0,Akela Sparks,FUNatic Jumpers,19.26,W,15.0,Emma,0.05,4.51,Alba,0.18,5.12,Roy,-0.11,4.47,Zoya,0.31,4.75,2023-10-15 10:59:19,Vodňany,5,cz
8.0,FUNatic Jumpers,Akela Sparks,18.83,L,15.0,Casík,-0.05,4.4,Gina,0.14,5.05,Hanneli,0,4.38,And,0.1,4.81,2023-10-15 11:00:51,Vodňany,4,cz
8.0,Akela Sparks,FUNatic Jumpers,21.2,W,15.0,Emma,0.14,4.54,Alba,0.57,5.15,Roy,0.59,4.55,Zoya,0.9,4.77,2023-10-15 11:00:51,Vodňany,5,cz
5.0,JokerZ Fun,Manic Dogs 2,18.33,W,17.5,Trufa,0.001,4.38,Twister,0,4.16,Taz,0.4,4.94,Zara,0.52,3.93,2023-10-15 11:06:17,Vodňany,4,cz
5.0,Manic Dogs 2,JokerZ Fun,17.75,L,27.5,Sajmon,-0.27,4.31,Alvin,0.16,4.45,Dodge,0.14,4.29,Najty,0.51,4.16,2023-10-15 11:06:17,Vodňany,5,cz
5.0,JokerZ Fun,Manic Dogs 2,18.68,W,17.5,Trufa,0.14,4.42,Twister,0,4.17,Taz,,ran in,Zara,0.25,3.98,2023-10-15 11:07:38,Vodňany,4,cz
5.0,Manic Dogs 2,JokerZ Fun,26.5,L,27.5,Sajmon,0.08,4.33,Alvin,0.18,4.47,Dodge,0.17,4.38,Najty,0,4.28,2023-10-15 11:07:38,Vodňany,5,cz
5.0,JokerZ Fun,Manic Dogs 2,17.95,W,17.5,Trufa,0.06,4.35,Twister,0.14,4.21,Taz,0,5.12,Zara,,4.07,2023-10-15 11:08:37,Vodňany,4,cz
5.0,Manic Dogs 2,JokerZ Fun,18.05,L,27.5,Sajmon,0.07,4.31,Alvin,0,4.62,Dodge,0,4.49,Najty,0.3,4.26,2023-10-15 11:08:37,Vodňany,5,cz
5.0,DumbleDogs R,BEAST in Orange,32.83,L,25.0,Mitty,0.1,3.83,Ridiculus,0.17,4.31,Criss,0,4.69,Flash,0.38,4.43,2023-10-15 11:14:09,Vodňany,4,cz
5.0,BEAST in Orange,DumbleDogs R,18.45,W,20.0,Nola,0.04,4.11,Zoey,0.23,4.34,Blizzard,0.17,5.44,Leen,0.18,3.95,2023-10-15 11:14:09,Vodňany,5,cz
5.0,DumbleDogs R,BEAST in Orange,34.04,L,25.0,Mitty,0.07,3.85,Ridiculus,0.11,4.39,Criss,0.37,4.59,Flash,0.24,4.61,2023-10-15 11:15:46,Vodňany,4,cz
5.0,BEAST in Orange,DumbleDogs R,32.07,W,20.0,Nola,0.15,outside,Zoey,,4.33,Blizzard,0.17,5.48,Leen,0.21,4.02,2023-10-15 11:15:46,Vodňany,5,cz
5.0,DumbleDogs R,BEAST in Orange,17.97,W,22.5,Mitty,0.04,3.77,Ridiculus,0,4.44,Criss,0.16,4.62,Corri,,ran in,2023-10-15 11:17:28,Vodňany,4,cz
5.0,BEAST in Orange,DumbleDogs R,18.33,L,20.0,Nola,0.04,4.13,Zoey,0,4.43,Blizzard,0,5.77,Leen,error,3.96,2023-10-15 11:17:28,Vodňany,5,cz
5.0,DumbleDogs R,BEAST in Orange,17.96,L,22.5,Mitty,0.07,3.79,Ridiculus,0.23,4.29,Criss,0,4.7,Corri,,ran in,2023-10-15 11:19:06,Vodňany,4,cz
5.0,BEAST in Orange,DumbleDogs R,27.81,W,20.0,Nola,0.12,4.09,Zoey,0,4.47,Blizzard,0.22,5.56,Leen,-0.1,3.9,2023-10-15 11:19:06,Vodňany,5,cz
5.0,Hop Trop HURRICANE,Hellodogs New Generation,18.43,L,17.5,Dixi,0.15,4.62,Wyn,0.43,4.26,Cayenne,0.29,4.24,Carmela,0.19,4.26,2023-10-15 11:24:27,Vodňany,4,cz
5.0,Hellodogs New Generation,Hop Trop HURRICANE,17.94,W,17.5,Cherry,0.08,3.99,Bella,0.42,4.17,Deni,0,4.45,Firgi,0.25,4.59,2023-10-15 11:24:27,Vodňany,5,cz
5.0,Hop Trop HURRICANE,Hellodogs New Generation,17.74,L,17.5,Dixi,-0.05,4.47,Wyn,0.25,4.24,Cayenne,0.17,4.16,Carmela,0.23,4.27,2023-10-15 11:25:41,Vodňany,4,cz
5.0,Hellodogs New Generation,Hop Trop HURRICANE,18.74,W,17.5,Cherry,0.06,4.01,Bella,0.32,4.12,Deni,0.52,4.5,Firgi,0.61,4.6,2023-10-15 11:25:41,Vodňany,5,cz
5.0,Hop Trop HURRICANE,Hellodogs New Generation,23.88,W,17.5,Dixi,-0.02,4.51,Wyn,0.28,4.27,Cayenne,0.18,4.31,Carmela,0.65,4.31,2023-10-15 11:26:53,Vodňany,4,cz
5.0,Hellodogs New Generation,Hop Trop HURRICANE,24.33,L,17.5,Cherry,0.1,4.16,Bella,-0.27,4.18,Deni,2.18,4.5,Firgi,0.22,4.57,2023-10-15 11:26:53,Vodňany,5,cz
5.0,Hop Trop HURRICANE,Hellodogs New Generation,17.94,W,17.5,Dixi,0.06,4.46,Wyn,0.29,4.26,Cayenne,0.27,4.22,Carmela,0.13,4.25,2023-10-15 11:28:13,Vodňany,4,cz
5.0,Hellodogs New Generation,Hop Trop HURRICANE,17.97,L,17.5,Cherry,0.21,4.09,Bella,0,4.29,Deni,0,4.54,Firgi,0.16,4.67,2023-10-15 11:28:13,Vodňany,5,cz
5.0,Hop Trop HURRICANE,Hellodogs New Generation,17.83,W,17.5,Dixi,0.08,4.53,Wyn,0,4.36,Cayenne,0,4.34,Carmela,0.3,4.23,2023-10-15 11:29:44,Vodňany,4,cz
5.0,Hellodogs New Generation,Hop Trop HURRICANE,30.1,L,17.5,Cherry,0.1,4.14,Bella,0.15,4.17,Deni,0,4.63,Firgi,0.19,16.74,2023-10-15 11:29:44,Vodňany,5,cz
5.0,The Ultimates,BomBallance Flyball Team,18.15,L,27.5,Oona,0.14,4.44,Mäx,0,4.3,Rocky,0,4.56,Zyra,0.3,4.41,2023-10-15 11:35:12,Vodňany,4,cz
5.0,BomBallance Flyball Team,The Ultimates,17.84,W,22.5,Fléche,0.08,4.22,Jazzy,0.16,4.27,Simon,0,4.85,Koni,0.2,4.06,2023-10-15 11:35:12,Vodňany,5,cz
5.0,The Ultimates,BomBallance Flyball Team,18.32,L,27.5,Oona,0.16,4.5,Mäx,0,4.39,Rocky,0,4.54,Zyra,0.34,4.39,2023-10-15 11:37:06,Vodňany,4,cz
5.0,BomBallance Flyball Team,The Ultimates,18.06,W,22.5,Fléche,0.17,4.38,Jazzy,0,4.39,Simon,0.16,4.76,Koni,0.12,4.09,2023-10-15 11:37:06,Vodňany,5,cz
5.0,The Ultimates,BomBallance Flyball Team,18.08,L,27.5,Oona,0.13,4.5,Mäx,0,4.3,Rocky,0.22,4.48,Zyra,0,4.46,2023-10-15 11:38:24,Vodňany,4,cz
5.0,BomBallance Flyball Team,The Ultimates,17.94,W,22.5,Fléche,0.05,4.34,Jazzy,0,4.46,Simon,0.17,4.74,Koni,0.11,4.07,2023-10-15 11:38:24,Vodňany,5,cz
2.0,The Rebels Hardcore,Hop Trop PRAGUE,16.47,L,27.5,Nick,0.1,4.26,Finn,error,3.95,Baky,0.15,3.96,Foxy,0,4.07,2023-10-15 11:42:14,Vodňany,4,cz
2.0,Hop Trop PRAGUE,The Rebels Hardcore,17.08,W,20.0,Roník,0.07,3.71,Melie,0.25,3.88,Axelle,0.41,4.31,Lucka,0.5,3.96,2023-10-15 11:42:14,Vodňany,5,cz
2.0,The Rebels Hardcore,Hop Trop PRAGUE,16.39,L,27.5,Finn,-0.002,3.96,Baky,0.15,3.92,Foxy,0.12,3.95,Luna,0.33,3.98,2023-10-15 11:43:46,Vodňany,4,cz
2.0,Hop Trop PRAGUE,The Rebels Hardcore,17.02,W,20.0,Roník,0.19,3.7,Melie,0.46,4.01,Axelle,0.22,4.17,Lucka,0.32,3.96,2023-10-15 11:43:46,Vodňany,5,cz
2.0,The Rebels Hardcore,Hop Trop PRAGUE,16.24,W,27.5,Finn,0.14,4.01,Baky,0,3.98,Foxy,0,4.04,Luna,0,4.07,2023-10-15 11:45:57,Vodňany,4,cz
2.0,Hop Trop PRAGUE,The Rebels Hardcore,25.02,L,20.0,Roník,0.16,3.73,Melie,0.14,3.96,Axelle,0,5.69,Lucka,0.48,3.98,2023-10-15 11:45:57,Vodňany,5,cz
2.0,The Rebels Hardcore,Hop Trop PRAGUE,16.18,W,27.5,Finn,0.11,4,Baky,,ran in,Foxy,0,4.04,Luna,0.14,3.94,2023-10-15 11:47:13,Vodňany,4,cz
2.0,Hop Trop PRAGUE,The Rebels Hardcore,26.96,L,20.0,Roník,0.04,3.76,Melie,0.15,4.05,Axelle,0,4.28,Lucka,error,4.02,2023-10-15 11:47:13,Vodňany,5,cz
2.0,The Rebels Hardcore,Hop Trop PRAGUE,16.09,W,27.5,Finn,0.11,3.97,Baky,,ran in,Foxy,0,4,Luna,0,4.03,2023-10-15 11:48:27,Vodňany,4,cz
2.0,Hop Trop PRAGUE,The Rebels Hardcore,16.61,L,20.0,Roník,0.06,3.79,Melie,0.12,3.94,Axelle,0,4.44,Lucka,0.12,4.15,2023-10-15 11:48:27,Vodňany,5,cz
2.0,BEAST Mode,RUNami A,16.42,L,25.0,Tizy,0.03,4.03,Drogo,0.17,3.96,Brooklyn,0,4.03,Codee,0.29,3.9,2023-10-15 11:53:29,Vodňany,4,cz
2.0,RUNami A,BEAST Mode,16.15,W,25.0,Fík,0.02,3.88,Black,0.15,3.89,Elia,0,4.14,Kody,0.11,3.95,2023-10-15 11:53:29,Vodňany,5,cz
2.0,BEAST Mode,RUNami A,16.54,L,25.0,Tizy,0.08,4.04,Drogo,0.19,3.98,Brooklyn,0.19,4.01,Codee,0.13,3.93,2023-10-15 11:54:44,Vodňany,4,cz
2.0,RUNami A,BEAST Mode,16.25,W,25.0,Fík,0.09,3.89,Black,0.14,3.9,Elia,0,4.22,Kody,0,4.01,2023-10-15 11:54:44,Vodňany,5,cz
2.0,BEAST Mode,RUNami A,17.41,W,25.0,Tizy,0.01,4.1,Drogo,0.5,3.97,Brooklyn,0.36,3.99,Codee,0.53,3.95,2023-10-15 11:55:58,Vodňany,4,cz
2.0,RUNami A,BEAST Mode,16.18,L,25.0,Fík,-0.02,3.89,Black,0,4.01,Elia,0,4.16,Kody,0.17,3.97,2023-10-15 11:55:58,Vodňany,5,cz
2.0,BEAST Mode,RUNami A,16.55,L,25.0,Tizy,0.05,4.17,Drogo,0.2,4.08,Brooklyn,0,4.09,Codee,0,3.96,2023-10-15 11:57:17,Vodňany,4,cz
2.0,RUNami A,BEAST Mode,16.14,W,25.0,Fík,0.06,3.92,Black,0,3.97,Elia,0,4.18,Kody,0,4.02,2023-10-15 11:57:17,Vodňany,5,cz
2.0,Lavina Alfa,X-treme,16.05,L,27.5,Bria,0.09,3.9,Vojta,0.1,3.95,Aida,0,3.95,Bambi,0,4.06,2023-10-15 12:00:57,Vodňany,4,cz
2.0,X-treme,Lavina Alfa,15.87,W,25.0,Kerby,0.05,3.82,Nesi,0.26,3.88,Mína,0,3.93,Maze,0,3.93,2023-10-15 12:00:57,Vodňany,5,cz
2.0,Lavina Alfa,X-treme,16.36,W,27.5,Bria,0.04,3.85,Vojta,0,4.02,Aida,0.31,3.94,Bambi,0.27,3.94,2023-10-15 12:02:10,Vodňany,4,cz
2.0,X-treme,Lavina Alfa,15.91,L,25.0,Kerby,0.15,3.84,Nesi,error,3.91,Mína,0,3.92,Maze,0,4.09,2023-10-15 12:02:10,Vodňany,5,cz
2.0,Lavina Alfa,X-treme,16.21,L,27.5,Bria,0.21,3.83,Vojta,0,3.98,Aida,0.11,3.94,Bambi,0.16,3.98,2023-10-15 12:03:18,Vodňany,4,cz
2.0,X-treme,Lavina Alfa,16.05,W,25.0,Kerby,0.1,3.84,Nesi,0.18,3.88,Mína,0.14,3.84,Maze,0,4.08,2023-10-15 12:03:18,Vodňany,5,cz
